x2_bicubic
imgname,psnr,ssim
0801,33.71333170,0.94397973
0802,38.69907110,0.95576488
0803,40.39412658,0.98170598
0804,30.11600037,0.88511230
0805,32.11498652,0.88561200
0806,30.81996839,0.92696457
0807,22.22778348,0.71089122
0808,28.98594920,0.88451949
0809,37.41180490,0.95728516
0810,30.37376933,0.90430523
0811,32.82809173,0.90169616
0812,30.48578284,0.90112978
0813,33.87638679,0.92543678
0814,31.15346092,0.94694684
0815,37.03464652,0.95345064
0816,34.50319571,0.92000816
0817,35.16687929,0.93500250
0818,31.79553855,0.95320708
0819,31.53366238,0.92700752
0820,27.05469765,0.89167433
0821,32.10736855,0.95142461
0822,33.56357996,0.93949312
0823,28.25362297,0.89054554
0824,29.34572938,0.92454235
0825,29.58939045,0.90571596
0826,26.14014772,0.84694426
0827,35.08429360,0.93637814
0828,20.62035306,0.87054221
0829,27.99713431,0.63596958
0830,26.91741710,0.84416658
0831,32.50182148,0.93700315
0832,34.59075842,0.94797756
0833,35.74938313,0.94549313
0834,28.21362050,0.88730520
0835,25.47137021,0.79006990
0836,27.51813418,0.87296243
0837,28.26695651,0.90514219
0838,40.80447003,0.94703574
0839,31.77329596,0.90291886
0840,31.63864820,0.91653759
0841,31.05502424,0.92454452
0842,32.94984364,0.93255076
0843,41.05501771,0.98464853
0844,44.64816019,0.99124049
0845,25.14847791,0.82872404
0846,26.59605248,0.85157743
0847,30.00197447,0.90819998
0848,28.44887083,0.81357601
0849,24.02577031,0.85914911
0850,30.58721575,0.90101574
0851,31.45459769,0.92631947
0852,32.96684447,0.92018809
0853,37.71437949,0.96998366
0854,27.05819193,0.84150813
0855,32.03912567,0.84085188
0856,28.33089099,0.87658589
0857,35.57097319,0.81734389
0858,31.40229408,0.89922627
0859,28.34281225,0.83793931
0860,23.46340471,0.82284717
0861,24.82625993,0.84007583
0862,35.41947783,0.88537123
0863,35.78291820,0.94258469
0864,32.95900712,0.89808234
0865,29.46330303,0.86157920
0866,28.02715384,0.90646269
0867,31.34259601,0.92043062
0868,34.46728051,0.97384133
0869,26.11958413,0.89496650
0870,33.02909195,0.94259922
0871,34.83283544,0.95096001
0872,26.54983716,0.84381434
0873,26.20534449,0.84192802
0874,32.38454564,0.88883729
0875,26.54810133,0.81622970
0876,24.37025931,0.75583054
0877,41.54712413,0.98006341
0878,34.46378542,0.94777271
0879,29.59532263,0.92030646
0880,35.83184511,0.95399983
0881,28.43297875,0.87477082
0882,36.23383449,0.96864301
0883,31.64009267,0.91900560
0884,28.12399785,0.85442576
0885,25.23910127,0.76586035
0886,39.16850386,0.94480941
0887,27.90713868,0.86792145
0888,32.48198764,0.92961358
0889,34.36887881,0.95982341
0890,27.16004216,0.83495902
0891,27.77168923,0.87109427
0892,31.12619566,0.93474566
0893,34.57482529,0.86941828
0894,34.08683756,0.94817102
0895,23.18509807,0.78307422
0896,39.76201653,0.96056449
0897,25.06748734,0.84297247
0898,37.63592680,0.94319067
0899,30.43949253,0.92321406
0900,29.65856053,0.91148037
