x2_yhsrnv7
imgname,psnr,ssim
0801,34.01577448,0.94870690
0802,39.19298907,0.95608512
0803,43.60311722,0.98477717
0804,31.43795844,0.90707048
0805,32.61256162,0.89502821
0806,32.71966740,0.94166806
0807,22.85861713,0.75151240
0808,29.70743328,0.89785815
0809,38.12615649,0.96221300
0810,31.38733499,0.92366839
0811,33.00492293,0.90689355
0812,31.88925724,0.92303258
0813,35.09071414,0.93280409
0814,32.54307802,0.95965125
0815,37.89224847,0.95545822
0816,35.48282760,0.92941397
0817,35.73227961,0.93802567
0818,33.57243046,0.96414803
0819,32.42816900,0.94007801
0820,29.27852173,0.92847725
0821,35.94237893,0.96998148
0822,34.88717464,0.95260964
0823,29.47875164,0.91281820
0824,31.21517267,0.94157469
0825,31.35303702,0.92669891
0826,27.42457599,0.88357240
0827,37.38899684,0.94792968
0828,24.59335391,0.94846293
0829,28.22016379,0.65605053
0830,27.60363590,0.86780174
0831,35.25567712,0.95868408
0832,35.88328069,0.95598401
0833,37.59647194,0.95040464
0834,28.87727485,0.90710392
0835,25.86916152,0.81648459
0836,29.37296779,0.91048108
0837,30.30749186,0.93754265
0838,40.70899761,0.94630278
0839,32.16619472,0.91197240
0840,32.57888621,0.93000332
0841,32.69883844,0.94201431
0842,33.33155118,0.93818236
0843,43.26284676,0.98632567
0844,47.28030539,0.99131647
0845,28.04525822,0.88292163
0846,28.96242451,0.89290639
0847,31.88753931,0.93140447
0848,30.09538835,0.83722598
0849,26.31187964,0.90856116
0850,32.51900733,0.92709123
0851,32.81085569,0.93646390
0852,33.76519205,0.93134647
0853,38.90432586,0.97081006
0854,28.03129279,0.86803256
0855,32.56016482,0.85504968
0856,28.74124631,0.88927184
0857,35.71523317,0.81954121
0858,32.02459934,0.90915405
0859,28.88674059,0.85915517
0860,24.27907096,0.86131526
0861,26.41744306,0.88907496
0862,35.88955755,0.89347717
0863,36.08719685,0.94698266
0864,33.80629036,0.91329475
0865,30.33652108,0.88452981
0866,28.12040794,0.91473551
0867,32.97065803,0.93967715
0868,36.18071200,0.97971249
0869,27.22001094,0.91800509
0870,33.60033965,0.94756365
0871,36.37914733,0.96112906
0872,27.38855329,0.86704603
0873,27.63221365,0.88825949
0874,33.55701375,0.90695689
0875,28.08105958,0.86253663
0876,24.81149237,0.79445159
0877,43.42017262,0.98328447
0878,36.42166966,0.95626288
0879,31.23389948,0.94042873
0880,36.20972814,0.95808524
0881,29.50696117,0.89537379
0882,37.05633180,0.97064974
0883,31.67959460,0.92121582
0884,29.60178394,0.89069052
0885,25.73150071,0.79433538
0886,39.81924067,0.94506501
0887,28.56630138,0.88200004
0888,33.83385407,0.93827598
0889,36.08503028,0.96625272
0890,27.73776829,0.86006303
0891,30.23440086,0.91527929
0892,34.53394425,0.96253513
0893,35.17732666,0.87370956
0894,35.77313780,0.95753708
0895,23.67535795,0.81865441
0896,41.70856647,0.96161068
0897,25.26976551,0.86110585
0898,38.84574165,0.94564258
0899,33.98949172,0.95519850
0900,31.60106584,0.92767549
